school_id,school_name,region,quality_score,confidence_score,risk_tier,lender_status,completion_rate,withdrawal_rate,avg_attendance,stalled_pct,freshness_days,open_issues,ai_summary
S01,Riverside Academy,Southwest,88,91,Low,Approved,0.91,0.05,0.93,0.04,3,0,"Strong performer. High completion and attendance rates, fresh data, no open issues. Confidence is high across all signals. Suitable for active lending."
S02,Lakewood Institute,Midwest,82,85,Low,Approved,0.87,0.07,0.90,0.06,5,1,"Solid school with strong outcomes. One minor data issue flagged but does not materially affect confidence. Recommended for continued lending."
S03,Blue Ridge Center,Southeast,79,77,Low,Approved,0.84,0.09,0.88,0.07,7,1,"Good completion and attendance. Slight withdrawal uptick worth monitoring. Data freshness is acceptable. Approved with routine review."
S04,Summit Learning Hub,Northeast,74,80,Medium,Under Review,0.78,0.13,0.85,0.10,12,2,"Mixed signals. Completion rate is declining and withdrawal is elevated. Data is moderately fresh but two issues are unresolved. Under review pending clarification."
S05,Prairie Tech Academy,Midwest,70,65,Medium,Under Review,0.75,0.15,0.82,0.13,18,3,"Below-average completion with inconsistent attendance. Confidence is reduced due to data gaps and three open issues. Lending paused pending school response."
S06,Coastal Pathways,West,68,72,Medium,Under Review,0.72,0.17,0.80,0.14,14,2,"Moderate outcomes but data confidence is mixed. Withdrawal rate is high relative to peers. Flagged for lender review before new originations."
S07,Northgate Skills Center,Northeast,62,58,High,Under Review,0.65,0.22,0.76,0.19,25,4,"Significant concerns. Low completion, high stall rate, and stale data with multiple unresolved issues. New lending on hold."
S08,Westfield Training Co.,West,55,60,High,Under Review,0.60,0.25,0.73,0.22,30,4,"Poor completion and attendance trends. Confidence is low due to data staleness and quality gaps. Loan decisions require manual escalation."
S09,Desert Rise Academy,Southwest,48,45,High,Suspended,0.52,0.31,0.68,0.28,45,6,"Critical risk. Very low completion rate, high withdrawal, and severe data quality issues. Lending suspended. Remediation plan required."
S10,Ironwood Technical,Southeast,44,50,High,Suspended,0.48,0.35,0.65,0.33,52,7,"Outcomes are among the weakest in the portfolio. Data is stale and unreliable. Lending suspended pending full audit."
S11,Crestview College Prep,Southeast,77,60,Medium,Under Review,0.82,0.10,0.87,0.08,22,3,"Good program outcomes but confidence is dampened by stale data and open issues. Strong potential but requires data remediation before approval."
S12,Mapleton Career Center,Midwest,85,55,Medium,Under Review,0.89,0.06,0.91,0.05,35,5,"Excellent outcomes data but very low confidence due to data freshness problems and five open issues. Quality score is strong; confidence score is not. Lending paused until data pipeline is restored."
